fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.3,0.986506311,-1,25,40,0.006735387,102.4537109,AA,1059,13096.03502,7850.955007,6742.080561,5,5,CB,163,1,BC,0,1,9,0,1500,0,INTERNET,16.22484343,linux,1,1,0,0
0,0.8,0.617426006,-1,89,20,0.010095098,-0.849550969,AD,1658,9223.283431,5745.251481,5941.664859,3,18,CA,154,1,BC,1,1,2,0,1500,0,INTERNET,3.363853711,other,1,1,0,0
0,0.8,0.996707021,9,14,40,0.01231635,-1.490385521,AB,1095,4471.472149,5471.988958,5992.555113,15,11,CA,89,1,BC,0,1,30,0,200,0,INTERNET,22.73055923,windows,0,1,0,0
0,0.6,0.475099946,11,14,30,0.006990831,-1.863100677,AB,3483,14431.99362,6755.344479,5970.336831,11,13,CA,90,1,BC,0,1,1,0,200,0,INTERNET,15.21581612,linux,1,1,0,0
0,0.9,0.842306837,-1,29,40,5.742625847,47.1524978,AA,2339,7601.511579,5124.04693,5940.734212,1,6,CA,91,0,BC,1,1,26,0,200,0,INTERNET,3.743047928,other,0,1,0,0
0,0.6,0.294840464,-1,369,30,0.024231885,-1.232556198,AD,1204,11556.95551,7506.951276,6482.924037,705,5,CB,134,1,BE,1,1,30,0,200,0,INTERNET,6.987315503,linux,1,1,0,0
0,0.2,0.773085465,22,4,40,0.00691936,-0.544676495,AB,1998,11723.99361,7864.277144,6338.799156,28,8,CA,72,1,BC,1,1,1,0,200,0,INTERNET,28.19992279,x11,1,1,0,0
0,0.8,0.153880433,-1,103,40,0.045121839,,AB,1548,4999.555801,4526.861667,6426.790817,6,7,CA,163,0,BE,1,1,25,1,200,0,INTERNET,11.23426419,other,1,1,0,0
0,0.3,0.523654659,21,2,30,0.035205688,,AB,1781,6979.994002,4335.685346,6624.957942,2,10,CA,35,0,BC,1,0,2,0,200,0,INTERNET,5.329386684,other,1,1,0,0
0,0.8,0.834474588,-1,134,20,0.017244523,,AD,3113,7549.992086,6273.92211,6312.998835,14,20,CA,201,1,BD,1,1,15,0,1500,0,INTERNET,4.103969778,other,1,1,0,0
0,0.9,0.475014874,-1,67,50,0.008162057,,AB,2998,7452.13916,6026.624267,6305.93283,11,9,CA,184,0,BA,1,1,1,0,1500,0,INTERNET,2.892487657,other,1,1,0,0
0,0.8,0.333012708,-1,14,40,0.000307594,,AA,2355,5585.82739,6381.506858,6392.364926,2,6,CA,136,0,BA,0,1,15,0,1500,0,INTERNET,32.90878724,other,1,1,0,0
0,0.1,0.767431937,-1,34,20,0.021346338,,AB,2491,6652.516398,6720.662514,5987.011108,692,22,CA,84,1,BE,0,1,30,0,200,0,INTERNET,4.19972902,other,0,2,0,0
0,0.9,0.866088539,-1,33,30,0.034662211,,AD,1249,10746.59028,5163.388471,6734.66245,18,8,CA,123,0,BA,1,1,30,0,1500,0,INTERNET,20.60722889,macintosh,0,1,0,0
0,0.9,0.052615147,-1,156,30,0.025659621,-1.570164327,AD,1685,10282.43008,7499.069981,6785.368857,28,16,CB,88,1,BA,0,1,1,0,200,0,INTERNET,6.324050439,linux,1,1,0,0
0,0.9,0.52071817,-1,31,50,0.005729393,-1.008223236,AC,597,2778.119599,6002.72189,6303.077748,12,26,CA,80,1,BC,0,1,10,0,200,0,INTERNET,3.731970316,linux,1,1,0,0
0,0.8,0.12236963,-1,20,30,0.023472004,-0.881639999,AD,1655,4721.783889,3678.936076,6380.760673,26,15,CA,118,0,BC,0,0,30,0,200,0,INTERNET,7.836945286,windows,1,1,0,0
0,0.6,0.482905749,-1,38,40,0.037924926,-0.994613611,AC,2774,5692.610362,5099.913246,6706.703153,1,10,CA,137,1,BC,0,1,-1,0,200,0,INTERNET,4.486325959,other,1,1,0,0
0,0.2,0.527750864,13,114,20,0.003171449,-0.848346852,AB,4389,12256.25006,5390.950431,6330.661519,1839,18,CA,49,0,BB,1,1,15,0,200,0,INTERNET,2.838194457,windows,1,2,0,0
0,0.5,0.674869837,-1,372,30,0.004406145,30.30098025,AA,2069,12129.97077,7063.487189,6772.319484,1590,11,CA,268,1,BE,1,1,25,0,1500,0,INTERNET,6.336454889,other,1,1,0,0
0,0.7,0.732086016,-1,54,30,0.010839843,43.99823403,AA,2060,7305.294099,7507.542759,6317.261058,1,13,CB,64,1,BC,1,1,28,0,200,0,INTERNET,1.62758806,linux,1,1,0,0
0,0.1,0.428624943,-1,60,20,0.017244594,-1.415331605,AB,3418,11305.2104,5828.048444,6816.886301,378,6,CA,52,0,BB,0,1,1,0,200,0,INTERNET,3.462537412,other,1,1,0,0
0,0.1,0.256974967,-1,44,20,0.007483897,-1.293427537,AC,1668,9741.00029,5841.73701,5954.627972,22,14,CA,170,1,BC,0,0,-1,1,500,0,INTERNET,2.367117659,linux,0,1,0,0
0,0.7,0.450057457,-1,30,20,0.039596615,-0.862956073,AB,4254,2281.504405,5713.134097,6263.512121,11,16,CB,57,1,BB,0,1,2,0,200,0,INTERNET,4.377892415,other,1,1,0,0
0,0.5,0.178738125,26,8,30,0.028240691,-1.466146439,AB,1408,5468.489027,7615.150699,6810.287654,585,13,CB,79,1,BC,1,1,1,0,200,0,INTERNET,2.818489338,linux,1,1,0,0
0,0.9,0.102745159,-1,203,50,0.005173493,-0.661987526,AB,3453,9583.791189,7768.314396,6372.280751,0,3,CB,191,0,BB,1,1,30,0,1000,0,INTERNET,10.48085345,linux,1,1,0,0
0,0.4,0.043498192,33,9,40,0.013691156,-1.121679975,AB,4460,11460.67966,7727.385071,6592.190421,0,15,CA,62,1,BC,1,1,30,0,200,0,INTERNET,25.36977762,linux,1,1,0,0
0,0.6,0.084088388,-1,104,30,0.011474887,-1.793003617,AB,1972,7869.720177,5467.166904,6268.889549,27,15,CA,113,1,BA,0,1,30,1,200,0,INTERNET,4.502006766,macintosh,1,1,0,0
0,0.2,0.030561792,27,7,40,20.12956664,-1.558472773,AB,1619,7332.765245,6694.030608,6679.416272,16,19,CB,81,0,BC,0,0,10,0,200,0,INTERNET,7.523308598,linux,0,1,0,0
0,0.9,0.272415791,-1,35,40,4.81E-05,-0.607131963,AD,2243,6252.400299,5726.903918,6788.629416,10,7,CB,136,0,BE,1,0,15,0,200,0,INTERNET,2.598805273,windows,1,1,0,0
0,0.8,0.116826621,-1,233,40,0.613224267,18.80152196,AA,2694,10745.87782,6028.753634,6041.436514,6,3,CB,59,0,BE,0,1,30,0,200,0,INTERNET,5.053102907,linux,0,1,0,0
0,0.8,0.537710606,-1,174,40,0.01395645,7.403577422,AA,2178,2342.975298,6585.599475,6758.336473,9,2,CA,182,1,BC,1,1,27,1,1500,0,INTERNET,1.458035394,other,1,1,0,0
0,0.1,0.50312996,-1,198,20,0.009027118,19.75052612,AA,806,4790.914584,7859.516913,6371.446092,2,8,CA,37,1,BE,0,1,10,0,200,0,INTERNET,8.421464504,linux,0,1,0,0
